date,sub_basin,chloride_umolL,chloride_mgL,outlier_flag
2017-11-03,Copper,5.6,0.1985,False
2017-11-15,Copper,5.9,0.2092,False
2017-12-19,Copper,53.5,1.8967,True
2018-01-06,Copper,5.7,0.2021,False
2018-01-26,Copper,5.3,0.1879,False
2018-03-04,Copper,7.3,0.2588,False
2018-03-17,Copper,7.1,0.2517,False
2018-04-14,Copper,9.0,0.3191,False
2018-05-07,Copper,5.4,0.1914,False
2018-06-08,Copper,4.2,0.1489,False
2018-06-15,Copper,3.7,0.1312,False
2018-06-25,Copper,3.5,0.1241,False
2018-07-11,Copper,3.9,0.1383,False
2018-07-15,Copper,6.4,0.2269,False
2018-08-17,Copper,5.2,0.1844,False
2018-08-24,Copper,6.0,0.2127,False
2018-08-31,Copper,6.2,0.2198,False
2018-09-07,Copper,6.9,0.2446,False
2018-09-14,Copper,6.8,0.2411,False
2018-09-17,Copper,11.3,0.4006,False
2018-09-28,Copper,9.1,0.3226,False
2018-10-05,Copper,13.15,0.4662,False
2018-10-12,Copper,10.11,0.3584,False
2018-10-18,Copper,10.36,0.3673,False
2018-10-23,Copper,12.78,0.4531,False
2018-11-02,Copper,9.72,0.3446,False
2018-11-10,Copper,11.87,0.4208,False
2018-11-17,Copper,11.65,0.413,False
2018-12-03,Copper,10.14,0.3595,False
2018-12-13,Copper,9.84,0.3489,False
2018-12-21,Copper,9.08,0.3219,False
2019-01-03,Copper,8.41,0.2982,False
2019-01-11,Copper,8.88,0.3148,False
2019-01-29,Copper,8.79,0.3116,False
2019-02-10,Copper,8.48,0.3006,False
2019-02-21,Copper,23.94,0.8487,True
2019-03-18,Copper,11.54,0.4091,False
2019-03-30,Copper,17.08,0.6055,False
2019-04-18,Copper,9.82,0.3481,False
2019-05-02,Copper,7.96,0.2822,False
2019-05-31,Copper,10.95,0.3882,False
2019-06-11,Copper,6.61,0.2343,False
2019-06-21,Copper,5.93,0.2102,False
2019-06-29,Copper,5.92,0.2099,False
2019-07-05,Copper,10.85,0.3847,False
2019-07-14,Copper,8.17,0.2897,False
2019-07-19,Copper,6.02,0.2134,False
2019-07-26,Copper,4.58,0.1624,False
2019-08-02,Copper,3.22,0.1142,False
2019-08-09,Copper,4.84,0.1716,False
2019-08-16,Copper,7.07,0.2507,False
2019-08-23,Copper,40.51,1.4362,True
2019-08-30,Copper,8.04,0.285,False
2019-09-06,Copper,9.34,0.3311,False
2019-09-13,Copper,6.61,0.2343,False
2019-09-20,Copper,8.64,0.3063,False
2019-09-27,Copper,8.4,0.2978,False
2019-10-04,Copper,7.74,0.2744,False
2019-10-11,Copper,6.38,0.2262,False
2019-10-19,Copper,7.09,0.2514,False
2019-10-25,Copper,9.35,0.3315,False
2019-11-03,Copper,8.34,0.2957,False
2019-11-08,Copper,6.6,0.234,False
2019-11-15,Copper,9.01,0.3194,False
2019-11-22,Copper,7.42,0.2631,False
2019-12-04,Copper,7.14,0.2531,False
2019-12-12,Copper,12.66,0.4488,False
2019-12-20,Copper,7.76,0.2751,False
2020-01-08,Copper,8.25,0.2925,False
2020-01-15,Copper,7.77,0.2755,False
2020-01-21,Copper,13.64,0.4836,False
2020-01-28,Copper,10.02,0.3552,False
2020-02-11,Copper,7.9395,0.2815,False
2020-02-20,Copper,8.2541,0.2926,False
2020-03-01,Copper,8.3778,0.297,False
2020-03-11,Copper,11.1494,0.3953,False
2020-03-17,Copper,8.7923,0.3117,False
2020-04-01,Copper,13.004,0.461,False
2020-04-09,Copper,7.8547,0.2785,False
2020-04-14,Copper,16.5621,0.5872,False
2020-04-24,Copper,7.5651,0.2682,False
2020-04-28,Copper,9.9682,0.3534,False
2020-05-14,Copper,9.2012,0.3262,False
2020-05-22,Copper,7.3032,0.2589,False
2020-05-29,Copper,6.7336,0.2387,False
2020-06-05,Copper,4.2127,0.1494,False
2020-06-12,Copper,4.782,0.1695,False
2020-06-19,Copper,10.9932,0.3897,False
2020-06-26,Copper,9.3907,0.3329,False
2020-07-02,Copper,8.3459,0.2959,False
2020-07-10,Copper,4.0259,0.1427,False
2020-07-17,Copper,5.4546,0.1934,False
2020-07-23,Copper,5.2963,0.1878,False
2020-07-30,Copper,5.3855,0.1909,False
2020-08-07,Copper,35.654,1.264,True
2020-08-14,Copper,11.7189,0.4155,False
2020-08-20,Copper,4.536,0.1608,False
2020-08-27,Copper,9.3532,0.3316,False
2020-09-03,Copper,9.38,0.3325,False
2020-09-11,Copper,8.5591,0.3034,False
2020-09-18,Copper,10.0575,0.3566,False
2020-09-24,Copper,7.0913,0.2514,False
2020-10-01,Copper,10.3352,0.3664,False
2020-10-08,Copper,12.0538,0.4273,False
2020-10-16,Copper,8.0453,0.2852,False
2020-10-24,Copper,8.7445,0.31,False
2020-10-27,Copper,11.3823,0.4035,False
2020-11-06,Copper,7.56,0.268,False
2020-11-13,Copper,5.47,0.1939,False
2020-11-20,Copper,6.08,0.2156,False
2020-12-04,Copper,16.37,0.5804,False
2020-12-31,Copper,6.32,0.2241,False
2021-01-08,Copper,41.0,1.4536,True
2021-01-15,Copper,5.42,0.1922,False
2021-01-21,Copper,5.39,0.1911,False
2021-01-28,Copper,16.32,0.5786,False
2021-02-05,Copper,5.7,0.2021,False
2021-02-11,Copper,6.29,0.223,False
2021-02-17,Copper,15.57,0.552,False
2021-02-25,Copper,7.9219,0.2809,False
2021-03-03,Copper,11.31,0.401,False
2021-03-10,Copper,18.89,0.6697,False
2021-03-19,Copper,7.92,0.2808,False
2021-03-25,Copper,6.81,0.2414,False
2021-03-30,Copper,6.79,0.2407,False
2021-04-07,Copper,8.59,0.3045,False
2021-04-14,Copper,9.92,0.3517,False
2021-05-17,Copper,37.69,1.3362,True
2021-05-28,Copper,8.56,0.3035,False
2021-06-04,Copper,7.79,0.2762,False
2021-06-11,Copper,5.33,0.189,False
2021-06-18,Copper,4.49,0.1592,False
2021-06-24,Copper,6.93,0.2457,False
2021-07-02,Copper,16.54,0.5864,False
2021-07-09,Copper,61.67,2.1864,True
2021-07-15,Copper,6.01,0.2131,False
2021-07-23,Copper,5.59,0.1982,False
2021-07-30,Copper,10.62,0.3765,False
2021-08-06,Copper,6.61,0.2343,False
2021-08-13,Copper,5.97,0.2117,False
2021-08-19,Copper,7.33,0.2599,False
2021-08-27,Copper,7.39,0.262,False
2021-09-03,Copper,11.0382,0.3913,False
2021-10-01,Copper,11.43,0.4052,False
2021-10-07,Copper,7.64,0.2709,False
2021-10-15,Copper,11.46,0.4063,False
2021-10-22,Copper,11.0,0.39,False
2021-10-27,Copper,8.86,0.3141,False
2021-11-03,Copper,9.42,0.334,False
2021-11-11,Copper,6.57,0.2329,False
2021-12-20,Copper,7.64,0.2709,False
2022-01-12,Copper,7.8435,0.2781,False
2022-01-20,Copper,10.63,0.3769,False
2022-02-04,Copper,29.85,1.0583,True
2022-02-10,Copper,17.01,0.6031,False
2022-02-25,Copper,11.56,0.4098,False
2022-03-03,Copper,6.56,0.2326,False
2022-03-08,Copper,9.45,0.335,False
2022-03-14,Copper,6.72,0.2382,False
2022-03-25,Copper,7.69,0.2726,False
2022-04-08,Copper,6.75,0.2393,False
2022-06-10,Copper,3.94,0.1397,False
2022-06-16,Copper,9.65,0.3421,False
2022-06-25,Copper,7.78,0.2758,False
2022-06-29,Copper,4.9,0.1737,False
2022-07-07,Copper,4.65,0.1649,False
2022-07-13,Copper,4.66,0.1652,False
2022-07-22,Copper,4.17,0.1478,False
2022-07-29,Copper,5.03,0.1783,False
2022-08-04,Copper,6.26,0.2219,False
2022-08-12,Copper,6.97,0.2471,False
2022-08-25,Copper,5.8,0.2056,False
2022-09-01,Copper,7.13,0.2528,False
2022-09-08,Copper,5.41,0.1918,False
2022-09-15,Copper,7.08,0.251,False
2022-09-27,Copper,8.4,0.2978,False
2022-10-18,Copper,8.15,0.2889,False
2022-11-09,Copper,7.84,0.278,False
2022-11-21,Copper,7.5,0.2659,False
2022-12-16,Copper,29.0,1.0281,True
2023-01-05,Copper,7.19,0.2549,False
2023-01-12,Copper,7.01,0.2485,False
2023-01-27,Copper,7.7,0.273,False
2023-02-17,Copper,7.23,0.2563,False
2023-03-06,Copper,7.36,0.2609,False
2023-04-18,Copper,6.35,0.2251,False
2023-05-05,Copper,5.81,0.206,False
2023-05-31,Copper,4.6556,0.1651,False
2023-06-09,Copper,4.78,0.1695,False
2023-06-23,Copper,6.2107,0.2202,False
2023-07-07,Copper,5.7895,0.2053,False
2023-07-21,Copper,5.5428,0.1965,False
2023-08-04,Copper,5.9188,0.2098,False
2023-08-18,Copper,5.5383,0.1963,False
2023-09-13,Copper,5.0695,0.1797,False
2023-10-25,Copper,9.4132,0.3337,False
2023-11-21,Copper,6.7449,0.2391,False
2023-12-13,Copper,6.9248,0.2455,False
2024-01-09,Copper,8.6074,0.3052,False
2024-02-07,Copper,7.2678,0.2577,False
2024-02-29,Copper,7.8803,0.2794,False
2024-04-19,Copper,6.8516,0.2429,False
2024-05-29,Copper,7.0634,0.2504,False
2024-06-03,Copper,7.6558,0.2714,False
2024-06-25,Copper,3.3463,0.1186,False
2024-07-18,Copper,16.0428,0.5688,False
2024-08-02,Copper,14.6209,0.5184,False
2024-08-19,Copper,13.4427,0.4766,False
2024-09-03,Copper,31.0363,1.1003,True
2014-06-27,EAQ,45.5,1.6131,True
2014-07-03,EAQ,5.0,0.1773,False
2014-07-16,EAQ,3.0,0.1064,False
2014-07-23,EAQ,3.2,0.1134,False
2014-07-30,EAQ,6.9,0.2446,False
2014-08-05,EAQ,2.8,0.0993,False
2014-08-13,EAQ,3.5,0.1241,False
2014-08-20,EAQ,2.9,0.1028,False
2014-08-21,EAQ,3.6,0.1276,False
2014-09-07,EAQ,3.2,0.1134,False
2014-09-14,EAQ,37.8,1.3401,True
2014-09-23,EAQ,12.0,0.4254,False
2014-10-01,EAQ,12.4,0.4396,False
2014-10-07,EAQ,5.7,0.2021,False
2014-10-14,EAQ,8.3,0.2943,False
2014-10-23,EAQ,23.4,0.8296,True
2014-10-31,EAQ,6.0,0.2127,False
2014-11-08,EAQ,5.3,0.1879,False
2014-12-12,EAQ,7.8,0.2765,False
2015-01-24,EAQ,6.8,0.2411,False
2015-02-07,EAQ,10.1,0.3581,False
2015-02-19,EAQ,9.9,0.351,False
2015-03-16,EAQ,5.8,0.2056,False
2015-04-09,EAQ,4.6,0.1631,False
2015-05-11,EAQ,4.2,0.1489,False
2015-05-24,EAQ,4.1,0.1454,False
2015-06-02,EAQ,4.9,0.1737,False
2015-06-11,EAQ,10.6,0.3758,False
2015-06-18,EAQ,6.6,0.234,False
2015-06-25,EAQ,4.3,0.1524,False
2015-07-02,EAQ,7.3,0.2588,False
2015-07-09,EAQ,10.5,0.3723,False
2015-07-15,EAQ,2.6,0.0922,False
2015-07-25,EAQ,3.5,0.1241,False
2015-08-02,EAQ,6.3,0.2234,False
2015-08-09,EAQ,3.1,0.1099,False
2015-08-16,EAQ,5.9,0.2092,False
2015-08-23,EAQ,5.0,0.1773,False
2015-08-30,EAQ,5.5,0.195,False
2015-09-07,EAQ,6.3,0.2234,False
2015-09-13,EAQ,4.0,0.1418,False
2015-09-22,EAQ,5.3,0.1879,False
2015-09-28,EAQ,4.7,0.1666,False
2015-10-04,EAQ,11.2,0.3971,False
2015-10-13,EAQ,6.8,0.2411,False
2015-10-19,EAQ,9.3,0.3297,False
2015-10-26,EAQ,9.2,0.3262,False
2015-11-02,EAQ,10.2,0.3616,False
2015-11-09,EAQ,5.6,0.1985,False
2015-11-15,EAQ,4.9,0.1737,False
2015-11-23,EAQ,5.6,0.1985,False
2015-12-01,EAQ,7.2,0.2553,False
2015-12-09,EAQ,6.5,0.2304,False
2016-01-08,EAQ,8.0,0.2836,False
2016-01-28,EAQ,8.0,0.2836,False
2016-02-21,EAQ,6.6,0.234,False
2016-03-09,EAQ,6.8,0.2411,False
2016-03-24,EAQ,6.1,0.2163,False
2016-03-31,EAQ,5.8,0.2056,False
2016-04-08,EAQ,8.5,0.3014,False
2016-04-21,EAQ,7.5,0.2659,False
2016-05-02,EAQ,7.8,0.2765,False
2016-05-20,EAQ,7.4,0.2624,False
2016-05-27,EAQ,4.9,0.1737,False
2016-06-04,EAQ,4.0,0.1418,False
2016-06-11,EAQ,5.5,0.195,False
2016-06-17,EAQ,7.1,0.2517,False
2016-06-27,EAQ,5.7,0.2021,False
2016-07-08,EAQ,3.4,0.1205,False
2016-07-15,EAQ,5.6,0.1985,False
2016-07-22,EAQ,4.2,0.1489,False
2016-07-29,EAQ,3.9,0.1383,False
2016-08-05,EAQ,3.3,0.117,False
2016-08-12,EAQ,3.8,0.1347,False
2016-08-19,EAQ,3.6,0.1276,False
2016-08-26,EAQ,18.8,0.6665,True
2016-09-02,EAQ,5.0,0.1773,False
2016-09-09,EAQ,3.3,0.117,False
2016-09-16,EAQ,4.7,0.1666,False
2016-09-23,EAQ,6.0,0.2127,False
2016-09-30,EAQ,7.0,0.2482,False
2016-10-12,EAQ,9.2,0.3262,False
2016-10-19,EAQ,7.4,0.2624,False
2016-10-27,EAQ,4.6,0.1631,False
2016-11-03,EAQ,5.4,0.1914,False
2016-11-12,EAQ,5.4,0.1914,False
2016-11-23,EAQ,3.6,0.1276,False
2016-12-02,EAQ,4.5,0.1595,False
2017-03-19,EAQ,4.4,0.156,False
2017-04-12,EAQ,6.0,0.2127,False
2017-04-30,EAQ,3.7,0.1312,False
2017-05-14,EAQ,3.5,0.1241,False
2017-06-01,EAQ,5.7,0.2021,False
2017-06-15,EAQ,5.3,0.1879,False
2017-06-30,EAQ,5.1,0.1808,False
2017-07-13,EAQ,6.1,0.2163,False
2017-07-30,EAQ,2.3,0.0815,False
2017-08-25,EAQ,23.3,0.8261,True
2017-09-14,EAQ,4.0,0.1418,False
2017-09-27,EAQ,6.9,0.2446,False
2017-10-14,EAQ,3.5,0.1241,False
2017-10-23,EAQ,3.2,0.1134,False
2017-11-03,EAQ,3.5,0.1241,False
2017-11-16,EAQ,4.3,0.1524,False
2017-12-19,EAQ,4.1,0.1454,False
2018-01-05,EAQ,3.2,0.1134,False
2018-01-25,EAQ,3.3,0.117,False
2018-03-03,EAQ,3.3,0.117,False
2018-04-15,EAQ,4.2,0.1489,False
2018-06-08,EAQ,2.5,0.0886,False
2018-06-15,EAQ,2.5,0.0886,False
2018-06-25,EAQ,3.2,0.1134,False
2018-07-09,EAQ,2.5,0.0886,False
2018-07-15,EAQ,2.6,0.0922,False
2018-08-10,EAQ,2.7,0.0957,False
2018-08-17,EAQ,3.5,0.1241,False
2018-08-24,EAQ,2.6,0.0922,False
2018-08-31,EAQ,2.9,0.1028,False
2018-09-07,EAQ,3.2,0.1134,False
2018-09-14,EAQ,3.9,0.1383,False
2018-09-21,EAQ,3.8,0.1347,False
2018-09-28,EAQ,7.3,0.2588,False
2018-10-05,EAQ,9.22,0.3269,False
2018-10-12,EAQ,7.49,0.2655,False
2018-10-18,EAQ,8.81,0.3123,False
2018-10-25,EAQ,11.28,0.3999,False
2018-11-02,EAQ,7.98,0.2829,False
2018-11-10,EAQ,7.21,0.2556,False
2018-11-17,EAQ,6.04,0.2141,False
2018-12-14,EAQ,6.39,0.2265,False
2018-12-21,EAQ,6.53,0.2315,False
2019-01-12,EAQ,7.34,0.2602,False
2019-01-29,EAQ,6.04,0.2141,False
2019-02-02,EAQ,6.96,0.2468,False
2019-02-27,EAQ,6.96,0.2468,False
2019-03-30,EAQ,8.19,0.2904,False
2019-04-18,EAQ,11.84,0.4198,False
2019-05-08,EAQ,7.64,0.2709,False
2019-06-05,EAQ,6.76,0.2397,False
2019-06-11,EAQ,7.3,0.2588,False
2019-06-21,EAQ,6.66,0.2361,False
2019-06-27,EAQ,4.72,0.1673,False
2019-07-05,EAQ,5.31,0.1883,False
2019-07-14,EAQ,6.67,0.2365,False
2019-07-19,EAQ,2.3,0.0815,False
2019-07-26,EAQ,4.18,0.1482,False
2019-08-02,EAQ,2.08,0.0737,False
2019-08-09,EAQ,6.89,0.2443,False
2019-08-16,EAQ,7.42,0.2631,False
2019-08-23,EAQ,17.38,0.6162,True
2019-08-30,EAQ,5.64,0.2,False
2019-09-06,EAQ,3.29,0.1166,False
2019-09-13,EAQ,5.01,0.1776,False
2019-09-20,EAQ,8.67,0.3074,False
2019-09-27,EAQ,3.25,0.1152,False
2019-10-04,EAQ,6.55,0.2322,False
2019-10-11,EAQ,5.78,0.2049,False
2019-10-19,EAQ,5.59,0.1982,False
2019-11-03,EAQ,4.05,0.1436,False
2019-11-08,EAQ,4.29,0.1521,False
2019-11-15,EAQ,3.2,0.1134,False
2019-11-22,EAQ,2.9,0.1028,False
2019-12-04,EAQ,5.95,0.2109,False
2019-12-12,EAQ,4.4,0.156,False
2019-12-20,EAQ,5.63,0.1996,False
2020-01-08,EAQ,5.52,0.1957,False
2020-01-21,EAQ,4.88,0.173,False
2020-01-28,EAQ,3.5,0.1241,False
2020-02-11,EAQ,7.1667,0.2541,False
2020-02-20,EAQ,10.0078,0.3548,False
2020-03-11,EAQ,5.8333,0.2068,False
2020-04-03,EAQ,6.914,0.2451,False
2020-04-09,EAQ,5.7025,0.2022,False
2020-04-19,EAQ,6.748,0.2392,False
2020-04-24,EAQ,7.6233,0.2703,False
2020-05-29,EAQ,8.9753,0.3182,False
2020-06-05,EAQ,7.7307,0.2741,False
2020-06-12,EAQ,4.4845,0.159,False
2020-06-19,EAQ,2.7611,0.0979,False
2020-06-26,EAQ,8.5472,0.303,False
2020-07-02,EAQ,3.2991,0.117,False
2020-07-10,EAQ,39.7982,1.411,True
2020-07-17,EAQ,2.7324,0.0969,False
2020-07-23,EAQ,8.7153,0.309,False
2020-07-29,EAQ,4.2752,0.1516,False
2020-08-07,EAQ,4.9534,0.1756,False
2020-08-14,EAQ,4.9383,0.1751,False
2020-08-20,EAQ,3.4182,0.1212,False
2020-08-27,EAQ,47.9449,1.6998,True
2020-09-03,EAQ,35.22,1.2487,True
2020-09-11,EAQ,6.6126,0.2344,False
2020-09-18,EAQ,5.1532,0.1827,False
2020-09-24,EAQ,5.688,0.2017,False
2020-10-01,EAQ,3.5918,0.1273,False
2020-10-08,EAQ,4.9638,0.176,False
2020-10-16,EAQ,5.8214,0.2064,False
2020-10-24,EAQ,3.9758,0.141,False
2020-10-27,EAQ,11.0009,0.39,False
2020-11-06,EAQ,4.2,0.1489,False
2020-11-13,EAQ,3.72,0.1319,False
2020-12-04,EAQ,3.98,0.1411,False
2021-01-08,EAQ,16.6,0.5885,True
2021-01-15,EAQ,6.08,0.2156,False
2021-01-28,EAQ,4.42,0.1567,False
2021-02-11,EAQ,8.63,0.306,False
2021-03-03,EAQ,4.44,0.1574,False
2021-03-19,EAQ,5.87,0.2081,False
2021-03-25,EAQ,3.97,0.1407,False
2021-04-07,EAQ,7.07,0.2507,False
2021-05-17,EAQ,13.43,0.4761,False
2021-05-28,EAQ,9.33,0.3308,False
2021-06-04,EAQ,4.64,0.1645,False
2021-06-11,EAQ,5.53,0.1961,False
2021-06-18,EAQ,4.97,0.1762,False
2021-06-24,EAQ,4.73,0.1677,False
2021-07-02,EAQ,5.45,0.1932,False
2021-07-09,EAQ,3.44,0.122,False
2021-07-15,EAQ,4.84,0.1716,False
2021-07-23,EAQ,4.68,0.1659,False
2021-07-30,EAQ,5.9,0.2092,False
2021-07-31,EAQ,4.3,0.1524,False
2021-08-06,EAQ,13.84,0.4907,False
2021-08-13,EAQ,3.07,0.1088,False
2021-08-19,EAQ,3.82,0.1354,False
2021-08-27,EAQ,5.21,0.1847,False
2021-09-03,EAQ,5.1867,0.1839,False
2021-10-01,EAQ,6.23,0.2209,False
2021-10-07,EAQ,6.16,0.2184,False
2021-10-15,EAQ,44.41,1.5745,True
2021-10-22,EAQ,5.8,0.2056,False
2021-10-27,EAQ,6.08,0.2156,False
2021-11-03,EAQ,5.92,0.2099,False
2021-11-11,EAQ,4.21,0.1493,False
2022-01-12,EAQ,5.5364,0.1963,False
2022-02-04,EAQ,42.74,1.5153,True
2022-03-03,EAQ,4.11,0.1457,False
2022-03-25,EAQ,7.34,0.2602,False
2022-06-03,EAQ,5.06,0.1794,False
2022-06-10,EAQ,3.37,0.1195,False
2022-06-16,EAQ,3.7,0.1312,False
2022-06-25,EAQ,5.8,0.2056,False
2022-06-29,EAQ,2.85,0.101,False
2022-07-07,EAQ,9.18,0.3255,False
2022-07-13,EAQ,3.92,0.139,False
2022-07-22,EAQ,2.74,0.0971,False
2022-07-29,EAQ,2.65,0.094,False
2022-08-04,EAQ,4.06,0.1439,False
2022-08-12,EAQ,3.45,0.1223,False
2022-08-25,EAQ,3.39,0.1202,False
2022-09-01,EAQ,3.05,0.1081,False
2022-09-08,EAQ,2.67,0.0947,False
2022-09-15,EAQ,2.47,0.0876,False
2022-09-27,EAQ,4.66,0.1652,False
2014-07-23,Gothic_ME,4.5,0.1595,False
2014-07-30,Gothic_ME,10.6,0.3758,False
2014-08-05,Gothic_ME,5.6,0.1985,False
2014-08-13,Gothic_ME,5.8,0.2056,False
2014-08-21,Gothic_ME,13.7,0.4857,False
2014-08-30,Gothic_ME,6.0,0.2127,False
2014-09-07,Gothic_ME,5.9,0.2092,False
2014-09-14,Gothic_ME,8.5,0.3014,False
2014-09-23,Gothic_ME,11.5,0.4077,False
2014-10-01,Gothic_ME,13.9,0.4928,False
2014-10-07,Gothic_ME,11.9,0.4219,False
2014-10-14,Gothic_ME,11.5,0.4077,False
2014-10-23,Gothic_ME,15.7,0.5566,False
2014-10-31,Gothic_ME,13.5,0.4786,False
2014-11-08,Gothic_ME,11.0,0.39,False
2014-11-18,Gothic_ME,8.1,0.2872,False
2014-12-07,Gothic_ME,6.6,0.234,False
2015-02-07,Gothic_ME,5.1,0.1808,False
2015-03-16,Gothic_ME,8.5,0.3014,False
2015-04-09,Gothic_ME,45.3,1.606,True
2015-05-02,Gothic_ME,27.2,0.9643,True
2015-05-11,Gothic_ME,15.5,0.5495,False
2015-05-24,Gothic_ME,6.9,0.2446,False
2015-06-02,Gothic_ME,8.2,0.2907,False
2015-06-11,Gothic_ME,10.7,0.3793,False
2015-06-18,Gothic_ME,6.4,0.2269,False
2015-06-25,Gothic_ME,8.0,0.2836,False
2015-07-02,Gothic_ME,6.8,0.2411,False
2015-07-09,Gothic_ME,7.5,0.2659,False
2015-07-15,Gothic_ME,4.6,0.1631,False
2015-07-25,Gothic_ME,6.9,0.2446,False
2015-08-02,Gothic_ME,7.9,0.2801,False
2015-08-09,Gothic_ME,8.3,0.2943,False
2015-08-16,Gothic_ME,8.6,0.3049,False
2015-08-23,Gothic_ME,13.4,0.4751,False
2015-08-30,Gothic_ME,8.4,0.2978,False
2015-09-07,Gothic_ME,9.1,0.3226,False
2015-09-13,Gothic_ME,6.6,0.234,False
2015-09-22,Gothic_ME,8.6,0.3049,False
2015-09-28,Gothic_ME,10.9,0.3864,False
2015-10-04,Gothic_ME,11.0,0.39,False
